,Artist,Genres,Songs,Popularity,Link
101,The Self-Escape,"['R&B', ' Blues', ' Indie']",14.0,0.0,/the-self-escape/
102,Son House,"['Blues', ' Folk']",30.0,0.0,/son-house/
103,Elmore James,['Blues'],50.0,0.0,/elmore-james/
104,Mississippi John Hurt,['Blues'],20.0,0.0,/mississippi-john-hurt/
105,Jonny Lang,"['Blues', ' Pop/Rock', ' Rock']",68.0,0.0,/jonny-lang/
106,Brian Setzer Orchestra,"['Blues', ' Rockabilly', ' Jazz']",101.0,0.0,/brian-setzer-orchestra/
107,Captain Beefheart,"['Blues', 'Psychedelic music']",62.0,0.0,/captain-beefheart/
108,Screamin' Jay Hawkins,"['Blues', ' Rock', ' R&B']",21.0,0.0,/screamin-jay-hawkins/
109,Joanne Shaw Taylor,"['Hard Rock', ' Blues', ' Classic Rock']",3.0,0.0,/joanne-shaw-taylor/
110,"Johnny ""Guitar"" Watson","['Funk', ' Blues', ' R&B']",7.0,0.0,/johnny-guitar-watson/
111,Banda Morfina,['Blues'],1.0,0.0,/banda-morfina/
112,Ida Cox,['Blues'],25.0,0.0,/ida-cox/
113,Moby,"['Trip-Hop', ' Chillout', ' Instrumental']",151.0,2.6,/moby/
114,Kali Uchis,"['R&B', ' Chillout', ' Pop']",77.0,1.0,/kali-uchis/
115,Groove Armada,"['Chillout', ' House', ' Electronica']",48.0,0.0,/groove-armada/
116,Röyksopp,"['Electronica', ' Chillout', ' Indie']",45.0,0.0,/royksopp/
117,Air,"['Chillout', ' Instrumental', ' Trip-Hop']",85.0,0.0,/air/
118,ATB,"['Chillout', ' Trance']",80.0,0.0,/atb/
119,Flight Facilities,"['House', ' Chillout', ' Electronica']",18.0,0.0,/flight-facilities/
120,Thievery Corporation,"['Trip-Hop', ' Chillout']",41.0,0.0,/thievery-corporation/
121,Zero7,"['Chillout', ' Indie', ' Trip-Hop']",39.0,0.0,/zero7/
122,Chicane,"['Chillout', ' Trance', ' Electronica']",24.0,0.0,/chicane/
123,Delerium,"['Trance', ' Chillout', 'Gothic Rock']",58.0,0.0,/delerium/
124,AC/DC,"['Rock', ' Heavy Metal', ' Classic Rock']",204.0,19.2,/ac-dc/
125,George Harrison,"['Classic Rock', ' Rock', ' Pop/Rock']",192.0,4.9,/george-harrison/
126,The Alan Parsons Project,"['Classic Rock', 'Progressive Music']",157.0,1.0,/the-alan-parsons-project/
127,Ringo Starr,"['Rock', ' Classic Rock', ' Pop/Rock']",243.0,0.0,/ringo-starr/
128,Mamilo Mandala,"['Classic Rock', ' Hard Rock', ' Rock']",10.0,0.0,/mamilo-mandala/
129,Pink Floyd,"['Progressive Music', ' Rock', 'Psychedelic music']",208.0,42.6,/pink-floyd/
130,Andrea Bocelli,"['Classic', 'Romantic', ' Instrumental']",240.0,8.7,/andrea-bocelli/
131,Enya,"['New Age', 'Classic', ' Instrumental']",129.0,5.3,/enya/
132,Luciano Pavarotti,['Classic'],140.0,3.5,/luciano-pavarotti/
133,Josh Groban,"['Classic', 'Romantic']",163.0,2.5,/josh-groban/
134,Il Divo,"['Classic', 'Romantic']",93.0,1.3,/il-divo/
135,Il Volo,"['Classic', 'Romantic']",103.0,2.1,/il-volo/
136,Epica,"['Gothic Rock', ' Heavy Metal', ' Rock']",134.0,0.0,/epica/
137,Sarah Brightman,"['New Age', 'Classic', 'Romantic']",269.0,1.0,/sarah-brightman/
138,The Phantom Of The Opera,"['Classic', 'Soundtack', 'Romantic']",64.0,1.0,/the-phantom-of-the-opera/
139,Mozart,"['Classic', ' Instrumental', 'Gospel']",46.0,0.0,/mozart/
140,Placido Domingo,"['Classic', ' Hip Hop']",47.0,0.0,/placido-domingo/
141,Tarja Turunen,"['Heavy Metal', ' Rock', 'Gothic Rock']",124.0,0.0,/tarja-turunen/
142,Robert Pattinson,"['Romantic', 'Classic', ' Instrumental']",14.0,0.0,/robert-pattinson/
143,Susan Boyle,"['Classic', 'Romantic']",78.0,0.0,/susan-boyle/
144,The Three Tenors,"['Classic', ' Punk Rock', 'Psychedelic music']",31.0,0.0,/the-3-tenors/
145,José & Josué,"['Classic', 'Soundtack', ' Country']",31.0,0.0,/jose-josue/
146,Taylor Swift,"['Pop', 'Romantic', ' Pop/Rock']",387.0,72.7,/taylor-swift/
147,Shania Twain,"['Pop', ' Country', 'Romantic']",113.0,30.7,/shania-twain/
148,Creedence Clearwater Revival,"['Rock', ' Country']",67.0,13.7,/creedence-clearwater-revival/
149,Johnny Cash,"['Folk', ' Country', ' Rock']",557.0,14.1,/johnny-cash/
150,Alan Jackson,['Country'],276.0,7.6,/alan-jackson/
151,Eagles,"['Soft Rock', ' Country']",95.0,6.0,/eagles/
152,Lady A,"['Pop', 'Romantic', ' Country']",133.0,3.8,/lady-a/
153,Dolly Parton,['Country'],723.0,1.3,/dolly-parton/
154,Willie Nelson,['Country'],284.0,0.7,/willie-nelson/
155,Blake Shelton,['Country'],165.0,0.9,/blake-shelton/
156,Rascal Flatts,['Country'],155.0,1.8,/rascal-flatts/
157,Carrie Underwood,"['Country', ' Pop']",164.0,0.8,/carrie-underwood/
158,Faith Hill,"['Country', ' Pop', 'Romantic']",122.0,0.0,/faith-hill/
159,Garth Brooks,['Country'],191.0,1.0,/garth-brooks/
160,George Strait,['Country'],366.0,1.0,/george-strait/
161,Dan + Shay,['Country'],51.0,1.0,/dan-shay/
162,Matanza,"['Hardcore', ' Rock', ' Hard Rock']",95.0,1.0,/matanza/
163,Brad Paisley,['Country'],151.0,1.0,/brad-paisley/
164,Keith Urban,['Country'],162.0,0.4,/keith-urban/
165,Florida Georgia Line,['Country'],90.0,1.0,/florida-georgia-line/
166,The Chicks (Dixie Chicks),"['Country', 'Romantic', ' Rock']",92.0,0.0,/the-chicks-dixie-chicks/
167,Kenny Chesney,['Country'],199.0,0.0,/kenny-chesney/
168,The Band Perry,"['Country', 'Romantic', ' Pop']",30.0,1.0,/the-band-perry/
169,Billy Ray Cyrus,['Country'],147.0,0.0,/billy-ray-cyrus/
170,Wanda Jackson,"['Rockabilly', ' Country']",167.0,0.0,/wanda-jackson/
171,Waylon Jennings,['Country'],383.0,0.0,/waylon-jennings/
172,Hank Williams,['Country'],165.0,0.0,/hank-williams/
173,Zac Brown Band,['Country'],86.0,0.0,/zac-brown-band/
174,The Highwaymen,['Country'],14.0,0.0,/the-highwaymen/
175,Brenda Lee,"['Country', ' Rockabilly']",161.0,0.0,/brenda-lee/
176,The Byrds,"['Rock', ' Folk', ' Country']",146.0,0.0,/the-byrds/
177,Chris Young,['Country'],107.0,0.1,/chris-young/
178,Glen Campbell,['Country'],219.0,0.0,/glen-campbell/
179,Miranda Lambert,['Country'],125.0,0.0,/miranda-lambert/
180,Martina McBride,"['Country', 'Romantic', ' Pop']",152.0,0.0,/martina-mcbride/
181,Norman Blake,"['Country', 'Classic', 'Gospel']",2.0,0.0,/norman-blake/
182,Ricky Nelson,"['Rockabilly', ' Country', ' Rock']",151.0,0.0,/ricky-nelson/
183,Patsy Cline,"['Country', ' Rockabilly', ' Blues']",120.0,0.0,/patsy-cline/
184,George Jones,"['Country', ' Folk']",534.0,0.0,/george-jones/
185,Don Henley,"['Soft Rock', ' Pop', ' Country']",67.0,0.0,/don-henley/
186,Jennette McCurdy,"['Pop', 'Romantic', ' Country']",38.0,0.0,/jennette-mccurdy/
187,Sara Evans,"['Country', 'Romantic']",82.0,0.0,/sara-evans/
188,Alexander Ludwig,['Country'],6.0,0.0,/alexander-ludwig/
189,Cowboy Junkies,"['Country', ' Rock']",138.0,0.0,/cowboy-junkies/
190,Paul Brandt,['Country'],80.0,0.0,/paul-brandt/
191,Charlie Feathers,"['Rockabilly', ' Country', ' Rock']",22.0,0.0,/charlie-feathers/
192,Nitty Gritty Dirt Band,['Country'],103.0,0.0,/nitty-gritty-dirt-band/
193,Jake Owen,['Country'],34.0,0.0,/jake-owen/
194,Lyle Lovett,['Country'],143.0,0.0,/lyle-lovett/
195,Tennessee Ernie Ford,['Country'],44.0,0.0,/tenneessee-ford/
196,Ward Thomas,['Country'],22.0,0.0,/ward-thomas/
197,Desert Rose Band,['Country'],45.0,0.0,/desert-rose-band/
198,Skeeter Davis,['Country'],166.0,0.0,/skeeter-davis/
199,Bill Monroe,['Country'],351.0,0.0,/bill-monroe/
200,Flying Burrito Brothers,"['Country', ' Rock']",46.0,0.0,/flying-burrito-brothers/
201,Chuck Wicks,"['Country', ' Surf Music']",11.0,0.0,/chuck-wicks/
202,Hank Snow,['Country'],89.0,0.0,/hank-snow/
203,Anitta,"['Pop', ' Dance', 'Brazilian Funk']",150.0,119.6,/anitta/
204,Justin Bieber,"['Dance', ' Pop', 'Romantic']",279.0,66.8,/justin-bieber/
205,Lady Gaga,"['Dance', ' Pop', ' Pop/Rock']",281.0,56.2,/lady-gaga/
206,Ariana Grande,"['Pop', ' Dance', 'Romantic']",189.0,53.1,/ariana-grande/
207,Shakira,"['Pop', ' Pop/Rock', ' Dance']",192.0,30.8,/shakira/
208,Katy Perry,"['Pop', ' Dance', ' Pop/Rock']",200.0,38.5,/katy-perry/
209,Alok,"['Dance', ' Electronica', ' House']",98.0,38.4,/alok/
210,One Direction,"['Pop/Rock', ' Pop', 'Romantic']",126.0,22.3,/one-direction/
211,Mariah Carey,"['Romantic', ' Pop', ' R&B']",303.0,16.6,/mariah-carey/
212,AVICII,"['House', ' Electronica', ' Dance']",108.0,22.1,/avicii/
213,Miley Cyrus,"['Pop', ' Pop/Rock', ' Dance']",299.0,19.1,/miley-cyrus/
214,Demi Lovato,"['Pop', ' Pop/Rock', ' Dance']",225.0,25.2,/demi-lovato/
215,Madonna,"['Dance', ' Pop']",378.0,16.3,/madonna/
216,Britney Spears,"['Pop', ' Dance']",321.0,15.5,/britney-spears/
217,Cyndi Lauper,"['Pop/Rock', ' Pop', ' Dance']",232.0,24.0,/cyndi-lauper/
218,ABBA,"['Disco', ' Pop', ' Dance']",166.0,11.8,/abba/
219,Jessie J,"['Dance', ' Pop/Rock', ' Pop']",129.0,12.8,/jessie-j/
220,Selena Gomez,"['Pop', ' Dance', ' Pop/Rock']",194.0,10.8,/selena-gomez/
221,David Guetta,"['House', ' Pop', 'Technopop']",222.0,12.1,/david-guetta/
222,Backstreet Boys,"['Dance', 'Romantic', ' Pop/Rock']",213.0,8.3,/backstreet-boys/
223,The Chainsmokers,"['Dance', ' Electronica', ' Pop']",65.0,10.3,/the-chainsmokers/
224,Calvin Harris,"['Electronica', ' House', ' Dance']",104.0,9.5,/calvin-harris/
225,Lulu Santos,"['Pop/Rock', ' Rock', ' Pop']",282.0,6.0,/lulu-santos/
226,Enrique Iglesias,"['Dance', ' Pop', 'Romantic']",177.0,4.4,/enrique-iglesias/
227,Cher,"['Disco', ' Pop', ' Dance']",309.0,7.3,/cher/
228,Xuxa,"[""Children's music"", ' Pop', ' Dance']",543.0,4.2,/xuxa/
229,Pet Shop Boys,"['Dance', ' Pop', 'Technopop']",299.0,2.9,/pet-shop-boys/
230,Kesha,"['Pop', ' Dance']",228.0,3.5,/kesha/
231,Jonas Brothers,"['Pop/Rock', ' Pop', 'Soundtack']",174.0,2.9,/jonas-brothers/
232,Stromae,"['Electronica', ' Dance', ' House']",48.0,6.2,/stromae/
233,Boney M,"['Disco', ' Dance']",132.0,3.3,/boney-m/
234,Tiësto,"['Electronica', ' Trance', ' Dance']",165.0,2.8,/dj-tiesto/
235,High School Musical,"['Romantic', ' Dance', ' Pop/Rock']",55.0,2.1,/high-school-musical/
236,Swedish House Mafia,"['House', ' Electronica', ' Dance']",39.0,2.9,/swedish-house-mafia/
237,Pitbull,"['Dance', ' Pop', ' Hip Hop']",270.0,2.0,/pitbull/
238,Ricky Martin,"['Pop', ' Dance', 'Romantic']",172.0,1.7,/ricky-martin/
239,Village People,"['Disco', ' Dance']",20.0,2.1,/village-people/
240,DJ Snake,"['Electronica', ' Dance']",58.0,2.9,/dj-snake/
241,Haddaway,['Dance'],20.0,2.2,/haddaway/
242,Gigi D'Agostino,"['Dance', ' Electronica']",96.0,2.0,/gigi-dagostino/
243,Rick Astley,"['Pop', ' Dance']",100.0,2.3,/rick-astley/
244,Pabllo Vittar,"['Pop', ' Dance']",65.0,1.5,/pabllo-vittar/
245,Rebeldes,"['Pop/Rock', 'Soundtack', ' Pop']",66.0,1.7,/rebelde-rede-record/
246,The Wanted,"['Dance', ' Pop', ' Electronica']",68.0,1.8,/the-wanted/
247,New Order,"[' Dance', 'Technopop']",132.0,1.5,/new-order/
248,Kylie Minogue,"['Dance', ' Pop', ' Electronica']",423.0,1.6,/kylie-minogue/
249,Carly Rae Jepsen,"['Dance', ' Pop', ' Pop/Rock']",118.0,1.3,/carly-rae-jepsen/
250,Major Lazer,"['Electronica', ' Dance']",92.0,1.5,/major-lazer/
251,Thalía,"['Dance', 'Romantic', ' Pop']",287.0,1.4,/thalia/
252,Latino,"['Dance', ' Pop', 'Romantic']",129.0,0.9,/latino/
253,Wanessa Camargo,"['Dance', 'Romantic', ' Pop']",168.0,1.0,/wanessa-camargo/
254,Bob Sinclar,"['House', ' Electronica', ' Dance']",59.0,1.0,/bob-sinclar/
255,will.i.am,"['Electronica', ' R&B', ' Hip Hop']",89.0,1.3,/will-i-am/
256,Kelly Key,"['Dance', ' Pop', 'Romantic']",89.0,1.4,/kelly-key/
257,Dulce María,"['Pop/Rock', ' Dance', 'Romantic']",92.0,1.1,/dulce-maria-solo/
258,Akcent,"['Electronica', ' Dance', ' House']",130.0,0.0,/akcent/
259,Jamiroquai,"['Funk', ' Pop', 'Soul']",114.0,0.0,/jamiroquai/
260,Dirty Dancing (trilha-sonora),"['Dance', 'Romantic', 'Soundtack']",16.0,1.0,/dirty-dancing/
261,Zendaya,"['Pop', ' Dance']",50.0,1.6,/zendaya/
262,Ashley Tisdale,"['Pop/Rock', ' Dance', ' Pop']",99.0,1.4,/ashley-tisdale/
263,Inna,"['House', ' Electronica', ' Dance']",168.0,0.3,/inna/
264,Double You,['Dance'],40.0,1.0,/double-you/
265,Far East Movement,"['Dance', ' Electronica', ' Pop']",73.0,1.0,/far-east-movement/
266,Lasgo,"['House', ' Dance', ' Electronica']",53.0,0.0,/lasgo/
267,Snap!,['Dance'],22.0,0.0,/snap/
268,O-Zone,['Dance'],34.0,1.5,/o-zone/
269,LMFAO,"['Pop', 'Technopop', ' Dance']",44.0,0.0,/lmfao/
270,Armin Van Buuren,"['Trance', ' Electronica', ' Dance']",158.0,2.0,/armin-van-buuren/
271,Camp Rock,"['Pop', 'Soundtack', ' Rock']",30.0,0.0,/camp-rock/
272,Hilary Duff,"['Dance', ' Pop', ' Pop/Rock']",119.0,0.0,/hilary-duff/
273,Aqua,['Dance'],46.0,1.0,/aqua/
274,Vanessa Hudgens,"['Dance', ' Pop', ' Pop/Rock']",52.0,1.0,/vanessa-hudgens/
275,Emily Osment,"['Electronica', ' Dance', ' Pop/Rock']",42.0,1.0,/emily-osment/
276,Noel,['Dance'],13.0,0.0,/noel/
277,Moony,"['Dance', ' Electronica']",10.0,0.0,/moony/
278,Alexandra Stan,"['Electronica', ' Dance', 'Technopop']",64.0,1.0,/alexandra-stan/
279,Whigfield,"['Dance', ' Electronica', ' Pop']",51.0,0.0,/whigfield/
280,Cody Simpson,"['Pop', 'Romantic', ' Dance']",139.0,0.0,/cody-simpson/
281,Kasino,"['Dance', ' Electronica', 'Technopop']",23.0,0.0,/kasino/
282,The Underdog Project,"['Dance', ' Electronica', ' Pop']",28.0,0.0,/the-underdog-project/
283,Guru Josh,"['Electronica', ' Dance', ' House']",7.0,0.0,/guru-josh-project/
284,Edward Maya,"['Dance', ' Electronica', ' House']",26.0,0.0,/edward-maya/
285,Larissa Manoela,"['Romantic', ""Children's music"", ' Dance']",44.0,0.0,/larissa-manoela/
286,Milena Stepanienco,"['Dance', ""Children's music""]",30.0,0.0,/milena-stepanienco/
287,Die Antwoord,"['Rap', ' Electronica', ' Dance']",89.0,1.0,/die-antwoord/
288,Magic Box,"['Dance', ' Electronica', 'Technopop']",10.0,0.0,/magic-box/
289,Ian Van Dahl,"['Dance', ' Electronica', ' House']",33.0,0.0,/ian-van-dahl/
290,Electronic,"['Rock', ' Electronica', ' Dance']",44.0,0.0,/electronic/
291,Cher Lloyd,"['Pop', ' Dance', ' Electronica']",62.0,0.0,/cher-lloyd/
292,Basshunter,"['Dance', ' Electronica', 'Technopop']",90.0,0.0,/basshunter/
293,Deee Lite,"['Dance', ' Pop']",40.0,0.0,/deee-lite/
294,Miranda Cosgrove,"['Dance', ' Pop', ' Pop/Rock']",39.0,0.0,/miranda-cosgrove/
295,September,"['Dance', ' Pop']",62.0,0.0,/september/
296,Pixie Lott,"['Pop', ' Dance', ' Pop/Rock']",104.0,0.0,/pixie-lott/
297,Lorena Simpson,"['Electronica', ' Dance', ' House']",23.0,0.0,/lorena-simpson/
298,Cascada,"['Dance', ' Electronica', 'Technopop']",93.0,1.0,/cascada/
299,Tiko's Groove,"['Electronica', ' Dance', 'Technopop']",8.0,0.0,/tikos-groove/
300,DJ Antoine,"['House', ' Electronica', ' Dance']",47.0,0.0,/dj-antoine/
301,John Martin,"['Electronica', ' Dance']",9.0,0.0,/john-martin/
302,Martin Solveig,"['Electronica', ' Dance', ' House']",34.0,0.0,/martin-solveig/
303,Jax Jones,"['Pop', ' Dance', ' Electronica']",24.0,0.1,/jax-jones/
304,Gabry Ponte,['Dance'],44.0,0.0,/gabry-ponte/
305,Bratz,"['Dance', ' Pop', ' Pop/Rock']",40.0,0.0,/bratz/
306,Dev,"['Technopop', ' Dance', ' Electronica']",77.0,0.0,/dev/
307,Natalia Kills,"['Pop', ' Dance', ' Electronica']",57.0,0.0,/natalia-kills/
308,Alex Gaudino,"['House', ' Electronica', ' Dance']",24.0,0.0,/alex-gaudino/
309,Christopher Uckermann,"['Pop', ' Pop/Rock', ' Dance']",31.0,0.0,/christopher-uckermann/
310,Mashup Germany,"['Dance', ' Electronica', ' Pop']",25.0,0.0,/mashup-germany/
311,DJ PV,"['Electronica', ' Dance', 'Gospel']",22.0,0.0,/dj-pv/
312,Yolanda Be Cool,"['Dance', ' Electronica', 'Technopop']",8.0,0.0,/yolanda-be-cool/
313,Yves Larock,"['Electronica', ' Dance', 'Technopop']",10.0,0.0,/yves-larock/
314,Real Mccoy,['Dance'],18.0,0.0,/real-mccoy/
315,The Saturdays,"['Pop', ' Dance', ' Electronica']",91.0,0.0,/the-saturdays/
316,Luciana,"['Dance', ' Electronica', ' Pop']",39.0,0.0,/luciana/
317,DJ Earworm,"['Electronica', ' Dance']",30.0,1.0,/dj-earworm/
318,Florida Inc.,"['Dance', 'Technopop', ' Electronica']",5.0,0.0,/florida-inc/
319,Nicola Roberts,"['Dance', ' Pop', 'Romantic']",17.0,0.0,/nicola-roberts/
320,MALIFOO,"['Pop', ' Electronica', ' Dance']",15.0,0.0,/malifoo/
321,The Cab,"['Pop/Rock', ' Rock', ' Pop']",39.0,0.0,/the-cab/
322,China Anne Mcclain,"['Dance', ' Pop', ' Pop/Rock']",25.0,0.0,/china-anne-mcclain/
323,Keke Palmer,"['Dance', ' Hip Hop', ' R&B']",105.0,0.0,/keke-palmer/
